dataset,model,MAE_cov,RMSE_cov,MAE_cov+text,RMSE_cov+text,MAE_cov+image,RMSE_cov+image,MAE_cov+image+text,RMSE_cov+image+text
Dataset C,Model 0 - Mean baseline,4.1147457123965685,6.425888354308347,4.1147457123965685,6.425888354308347,4.1147457123965685,6.425888354308347,4.1147457123965685,6.425888354308347
Dataset C,Model 1 - Ridge fixed effects,3.09628505313541,4.295922634627704,3.0956608944250665,4.295309935699144,3.0904397630650706,4.289680447220799,3.089818510236418,4.289066301700053
Dataset C,Model 2 - ElasticNet fixed effects,2.7048881519631274,4.001476645012063,2.7050890907004246,4.001865900621833,2.7044492393283464,3.998526593041747,2.7046179750687864,3.9989733573413533
Dataset C,Model 3 - HistGradientBoosting,1.731588857358029,2.6722160440413516,1.7344809636776706,2.6712077675299604,1.7247307690832643,2.6667299879722357,1.72244987925054,2.660130546309182
Dataset C,Model 4 - RandomForest,1.8151420039880708,2.7856789938456674,1.8191505819917893,2.7895306338069217,1.7576404194223731,2.703727570360969,1.7591859065932565,2.7029632647314985
